,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
15,2024-05-05 03:38:56,589,[0.513814 0.672847],[0.778371 0.124875],[0.081907 0.420967 0.049222],[0.887353 0.70902  0.975647 0.289844],[0.894979 0.317984 0.676784 0.199057],[0.386936 0.849921 0.608748 0.846329 0.835205],[0.472138 0.958785 0.910474 0.230726 0.777341 0.669334],[0.003645 0.855201 0.232735 0.291903 0.77662  0.552455 0.374673 0.72109 ],1.5218755870819935e-12,0.2831482095082889,-0.06853114126398069,-28.562235885100446,110.36857880101279,-1.3280647961239307,0.011242749954454973,9.366810643572
16,2024-05-05 03:40:17,589,[0.420752 0.463319],[0.144575 0.924313],[0.443697 0.941355 0.92551 ],[0.064936 0.356639 0.890076 0.985428],[0.215784 0.237294 0.864487 0.951084],[0.02335  0.136942 0.048095 0.094668 0.132853],[0.092913 0.871275 0.910474 0.089089 0.974431 0.49149 ],[0.805853 0.046944 0.160629 0.04936  0.381322 0.838141 0.052627 0.092081],-0.006256789578561801,0.04100402337936178,-0.16565027428570525,-28.672994894701713,581.7005407814287,-1.9771285758477481,0.026645074351683458,8.7087589860859
74,2024-05-12 15:07:59,589,[0.700114 0.731526],[0.752637 0.976564],[0.542581 0.661593 0.390176],[0.627766 0.478772 0.475826 0.299007],[0.274189 0.89648  0.929484 0.928516],[0.778186 0.204693 0.782552 0.743997 0.106401],[0.107896 0.541672 0.297422 0.268118 0.470428 0.78097 ],[0.106447 0.115956 0.072929 0.088786 0.453935 0.851055 0.538307 0.943085],1.263476983671764e-11,0.4075801903345696,-0.020942033247085927,-6.500845421486456,1961.0955629698865,-0.6180387964183247,1.0204860929365085,9.561445338169
75,2024-05-12 15:10:54,589,[0.470752 0.513319],[0.7158   0.173969],[0.650097 0.775136 0.116089],[0.376076 0.522367 0.503192 0.155887],[0.265784 0.287294 0.914487 0.999999],[0.668812 0.381802 0.237288 0.806238 0.378835],[0.931647 0.25445  0.464474 0.470385 0.314915 0.78066 ],[0.053645 0.905201 0.282735 0.341903 0.82662  0.602455 0.424673 0.77109 ],9.437470933862543e-09,0.5761742333421508,-0.0765789078391874,-5.628237420589684,1071.4383614423796,-0.9959705179879427,0.45568970298500105,9.203828743572
126,2024-05-19 13:28:54,589,[0.512195 0.313319],[0.502637 0.999999],[0.021907 0.365411 0.5     ],[0.472311 0.396044 0.225826 0.267189],[0.49697  0.883243 0.330334 0.571772],[0.628186 0.288026 0.982552 0.943997 0.      ],[0.       0.291672 0.047422 0.018118 0.220428 0.93097 ],[0.256447 0.265956 0.148619 0.238786 0.470602 0.601055 0.354974 0.693085],4.73978966424715e-15,-0.013171687797871815,-0.008776356659541424,-4.25140505322425,74.40178562883993,-0.9550905181240008,0.49051354749386206,9.8153159258655
154,2024-06-02 00:43:36,589,[0.498025 0.488066],[0.63294  0.938684],[0.342581 0.772704 0.5     ],[0.499988 0.328772 0.414715 0.149007],[0.374189 0.99648  0.999999 0.999999],[0.878186 0.224693 0.882552 0.643997 0.046401],[0.007896 0.441672 0.397422 0.168118 0.370428 0.68097 ],[0.156447 0.265956 0.248619 0.238786 0.470602 0.601055 0.454974 0.593085],6.180514775893635e-08,0.22528045681099845,-0.022321754584839714,-5.040058581640764,4468.872061890393,-1.0157203953670932,1.7860306690687051,9.7355954258655
157,2024-06-02 02:51:23,589,[0.13397  0.722149],[0.241813 0.652779],[0.717279 0.479997 0.996961],[0.995207 0.555644 0.718928 0.618845],[0.758063 0.63216  0.976495 0.642839],[0.985913 0.41189  0.699715 0.385602 0.690439],[0.900215 0.833608 0.603614 0.648754 0.481304 0.620634],[0.705807 0.051151 0.224894 0.744036 0.996246 0.021551 0.221517 0.846023],2.2914887025794057e-121,-0.03247789205037124,-0.42904328656741986,-23.761864026075873,864.5538150673756,-1.585345738099001,0.025483863324607038,8.6211828636071
188,2024-06-09 04:46:55,589,[0.740756 0.445017],[0.671908 0.391848],[0.742581 0.861593 0.5     ],[0.528234 0.299057 0.580721 0.862413],[0.421067 0.338187 0.440164 0.779114],[0.556091 0.709746 0.251062 0.546679 0.289517],[0.298288 0.556891 0.655926 0.501549 0.842752 0.485746],[0.6148   0.824124 0.905133 0.734041 0.840065 0.516576 0.370763 0.173468],-1.528476035036794e-33,0.5363166330176501,-0.03234629512138239,-14.755880001875223,0.3300526923208576,-1.2684580512578887,0.22868502894152812,6.794331034947101
189,2024-06-09 05:23:34,589,[0.691526 0.620114],[0.693578 0.230425],[0.742581 0.861593 0.5     ],[0.711099 0.562105 0.185826 0.09001 ],[0.858063 0.73216  0.999999 0.742839],[0.578186 0.004693 0.662552 0.943997 0.245121],[0.988888 0.00445  0.214474 0.620385 0.064915 0.93066 ],[0.705853 0.146944 0.160629 0.14936  0.281322 0.738141 0.152627 0.192081],-0.0023972272633230327,0.6009121101364899,-0.034643307008400556,-13.539947167595418,1960.152935844993,-0.8116508386197177,0.03527595310439922,9.0507073660859
228,2024-06-16 06:33:31,589,[0.598025 0.388066],[0.687517 0.030425],[0.021907 0.565411 0.5     ],[0.482452 0.410576 0.16482  0.146555],[0.339656 0.990653 0.999443 0.99628 ],[0.707271 0.125569 0.692021 0.693289 0.028522],[0.016552 0.07788  0.904229 0.188381 0.352258 0.657946],[0.192678 0.224215 0.146849 0.198708 0.622098 0.574935 0.301953 0.494802],6.047617645550546e-24,0.6048013428621108,-0.009275696283511695,-7.428121873942288,4307.752267234955,-0.7129681968223655,1.4335606772287999,9.9307542693746
